,run,k,k_method,i,max depth,accuracy
0,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",5,0.45 k,0,12,0.9475530885342532
1,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",7,0.64 k,0,12,0.9475530885342532
2,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",5,explain 0.8,0,12,0.9475530885342532
3,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",5,explain 0.85,0,12,0.9475530885342532
4,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",6,explain 0.9,0,12,0.9475530885342532
5,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",6,explain 0.95,0,12,0.9475530885342532
6,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",5,0.45 k,1,12,0.9475530885342532
7,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",7,0.64 k,1,12,0.9475530885342532
8,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",9,0.82 k,1,12,0.9475530885342532
9,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",11,1.00 k,1,12,0.9475530885342532
10,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",13,1.18 k,1,12,0.9475530885342532
11,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",15,1.36 k,1,12,0.9468867391768045
12,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",17,1.55 k,1,12,0.9468867391768045
13,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",19,1.73 k,1,12,0.9468867391768045
14,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",21,1.91 k,1,12,0.9468867391768045
15,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",18,explain 0.8,1,12,0.9468867391768045
16,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",20,explain 0.85,1,12,0.9468867391768045
17,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",23,explain 0.9,1,12,0.9468867391768045
18,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",28,explain 0.95,1,12,0.9468867391768045
19,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",5,0.45 k,2,12,0.9129141983496598
20,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",7,0.64 k,2,12,0.8945439419677369
21,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",9,0.82 k,2,12,0.9052976449527229
22,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",11,1.00 k,2,12,0.9023481636898925
23,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",13,1.18 k,2,12,0.9012012312563769
24,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",15,1.36 k,2,12,0.9062446363495976
25,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",17,1.55 k,2,12,0.8959673500589407
26,"CHCGASelector(iterations=25, population=40, evaluator=FeatureEvaluator(folds=8, max_depth=8, sample=1000))",19,1.73 k,2,12,0.900728528076205
