battery,camera,display,memory,name,price,processor,rating,reviews,warranty,logprice
5020 mAh Battery,64MP + 8MP + 5MP + 2MP | 32MP Front Camera,16.94 cm (6.67 inch) Full HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"Redmi Note 9 Pro Max (Glacier White, 128 GB)",16999,Qualcomm Snapdragon 720G Processor,4.3,23 Reviews,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories,9.74090979777877
5000 mAh Li-ion Battery,16MP + 8MP + 2MP | 16MP Front Camera,16.59 cm (6.53 inch) Full HD+ Display,4 GB RAM | 128 GB ROM | Expandable Upto 256 GB,"Vivo Y19 (Spring White, 128 GB)",14990,Helio P65 Processor,4.4,398 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for In-box Accessories,9.615138591096644
4000 mAh Battery,48MP + 8MP | 13MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,3 GB RAM | 32 GB ROM,"Redmi Note 8 (Neptune Blue, 32 GB)",10978,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.4,17 Reviews,,9.303648549109834
5020 mAh Battery,48MP Rear Camera,16.59 cm (6.53 inch) Full HD+ Display,4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,"Redmi Note 9 (Arctic White, 64 GB)",14498,MediaTek Helio G85 Processor,4.4,35 Reviews,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,9.581765987860823
4000 mAh Li-polymer Battery,12MP + 5MP | 20MP + 2MP Dual Front Camera,15.9 cm (6.26 inch) Full HD+ Display,6 GB RAM | 64 GB ROM | Expandable Upto 256 GB,"Redmi Note 6 Pro (Blue, 64 GB)",11999,Qualcomm Snapdragon 636 Processor,4.5,"10,831 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,9.392578591964389
4000 mAh Battery,48MP + 8MP | 13MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,6 GB RAM | 128 GB ROM,"Redmi Note 8 (Neptune Blue, 128 GB)",13261,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.4,942 Reviews,,9.4925826756776
3765 mAh Battery,48MP + 5MP | 16MP Front Camera,16.59 cm (6.53 inch) Full HD+ Display,8 GB RAM | 128 GB ROM,"Realme X (Super Polar White, 128 GB)",21999,Qualcomm Snapdragon 710 Octa Core 2.2 GHz AIE Processor,4.5,"5,073 Reviews",In-display Fingerprint Sensor and Face Unlock,9.998752276761909
4300 mAh Battery,64MP + 12MP + 8MP + 2MP | 16MP + 8MP Dual Front Camera,16.76 cm (6.6 inch) Full HD+ Display,8 GB RAM | 128 GB ROM | Expandable Upto 256 GB,"Realme 6 Pro (Lightning Orange, 128 GB)",19999,Snapdragon 720G Processor,4.4,"2,036 Reviews",90 Hz Ultra Smooth Display,9.903437551286085
4500 mAh Li-polymer Battery,64MP + 8MP + 2MP + 2MP | 20MP Front Camera,16.59 cm (6.53 inch) Full HD+ Display,8 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"Redmi Note 8 Pro (Gamma Green, 128 GB)",18999,MediaTek Helio G90T Processor,4.4,704 Reviews,"1 Year Warranty on Phone, 6 Months Warranty on Accessories",9.85214162518454
3800 mAh Battery,48 MP + 12 MP + 16 MP | 16MP Front Camera,16.64 cm (6.55 inch) Display,8 GB RAM | 128 GB ROM,"OnePlus 7T (Frosted Silver, 128 GB)",34834,Qualcomm® Snapdragon™ 855 Plus Processor,4.6,721 Reviews,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,10.45834920029173
3800 mAh Battery,48 MP + 12 MP + 16 MP | 16MP Front Camera,16.64 cm (6.55 inch) Display,8 GB RAM | 256 GB ROM,"OnePlus 7T (Frosted Silver, 256 GB)",37100,Qualcomm® Snapdragon™ 855 Plus Processor,4.6,721 Reviews,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,10.521372248595526
4000 mAh Battery,64MP + 13MP + 8MP + 2MP | 16MP Front Camera,16.51 cm (6.5 inch) Full HD+ Display,12 GB RAM | 256 GB ROM,"Realme X2 Pro (Concrete, 256 GB)",36999,Qualcomm Snapdragon 855 Plus Processor,4.6,955 Reviews,90 Hz Ultra Smooth Display,10.518646164234097
4000 mAh Battery,48MP Rear Camera | 13MP Front Camera,16.0 cm (6.3 inch) Display,6 GB RAM | 128 GB ROM,"Redmi Note 8 (Cosmic Purple, 128 GB)",13499,1 year,4.4,942 Reviews,,9.510370887608827
4200 mAh Battery,64MP + 8MP + 8MP + 2MP | 32MP + 8MP Dual Front Camera,16.69 cm (6.57 inch) Full HD+ Display,12 GB RAM | 256 GB ROM,"Realme X3 SuperZoom (Glacier Blue, 256 GB)",32999,Qualcomm Snapdragon 855+ Processor,4.2,105 Reviews,120 Hz Smooth Display,10.404232536959167
4030 mAh Battery,13MP Rear Camera | 5MP Front Camera,15.8 cm (6.22 inch) HD+ Display,2 GB RAM | 32 GB ROM | Expandable Upto 256 GB,"Vivo Y91i (fusion black, 32 GB)",8290,MTK Helio P22 Processor,4.3,"1,698 Reviews",Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,9.022805248129341
4000 mAh Li-ion Polymer Battery Battery,48MP + 2MP + 5MP + QVGA Rear Camera | 32MP Front Camera,16.59 cm (6.53 inch) Full HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,"Tecno Camon 15 Pro (Ice Jadite, 128 GB)",14999,Helio P35 MT6765 Processor,4.1,39 Reviews,Brand Warranty of 13 Months Available for Mobile and 1 Time Screen Replacement,9.61573881119536
4440 mAh Li-ion Battery,48MP + 13MP + 13MP + 2MP | 16MP Front Camera,16.36 cm (6.44 inch) Full HD+ Display,8 GB RAM | 256 GB ROM,"iQOO 3 (Tornado Black, 256 GB)",37990,Qualcomm Snapdragon 865 Processor,4.5,"1,169 Reviews","In-Display Fingerprint Sensor, Monster Touch Buttons",10.54507824618167
4200 mAh Lithium-ion Battery,48MP + 13MP + 8MP + 5MP | 32MP Front Camera,16.66 cm (6.56 inch) Full HD+ E3 Super AMOLED Display,8 GB RAM | 256 GB ROM,"Vivo X50 (Frost Blue, 256 GB)",37990,Qualcomm Snapdragon 730 Processor,4.4,24 Reviews,33W Vivo FlashCharge 2.0,10.54507824618167
3000 mAh Battery,8MP Rear Camera | 5MP Front Camera,13.46 cm (5.3 inch) Full HD+ Display,2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,"Samsung M01 core (Black, 32 GB)",7844,MediaTek | MT6739WW quad core  Processor,4.1,5 Reviews,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,8.967504187316237
4000 mAh Lithium-ion Battery,48MP + 12MP + 5MP + 5MP | 32MP Front Camera,16.26 cm (6.4 inch) Full HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 512 GB,"Samsung Galaxy A51 (Prism Crush Blue, 128 GB)",23999,Exynos 9611 Processor,4.4,565 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,10.085767441795337
4000 mAh Battery,48MP + 8MP | 13MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,6 GB RAM | 128 GB ROM,"Redmi Note 8 (Moonlight White, 128 GB)",13159,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.4,942 Reviews,,9.48486121415014
4000 mAh Battery,48MP + 8MP | 13MP Front Camera,16.0 cm (6.3 inch) Full HD+ Display,4 GB RAM | 64 GB ROM,"Redmi Note 8 (Moonlight White, 64 GB)",11199,1 year manufacturer warranty for device and 6 months manufacturer warranty for in-box accessories including batteries from the date of purchase,4.4,"1,243 Reviews",,9.323579767582693
4500 mAh Lithium Polymer Battery,16MP + 8MP + 2MP | 32MP Front Camera,16.21 cm (6.38 inch) Full HD+ Display,6 GB RAM | 128 GB ROM | Expandable Upto 256 GB,"Vivo S1 (Skyline Blue, 128 GB)",19990,Helio P65 (MT6768) Processor,4.4,176 Reviews,Brand Warranty of 1 Year Available for Mobile and 6 Months for Accessories,9.902987427494446
